DAY,SAMAN,ARPA,SLAJ,YEM,SU
178,1.625237618,1.857414421,1.74132602,4.585491852,0.986751411
179,1.665868559,1.903849782,1.78485917,4.700129148,1.011420196
180,1.74713044,1.996720503,1.871925471,4.929403741,1.060757767
181,1.869023261,2.136026584,2.002524923,5.27331563,1.134764123
182,1.990916083,2.275332666,2.133124374,5.617227519,1.208770479
183,2.194070785,2.507509468,2.350790127,6.190414,1.332114405
184,2.336279077,2.67003323,2.503156153,6.591644537,1.418455154
185,2.498802838,2.855774672,2.677288755,7.050193723,1.517130295
186,2.234701725,2.553944829,2.394323277,6.305051297,1.35678319
187,2.031547023,2.321768026,2.176657525,5.731864815,1.233439264
188,1.828392321,2.089591224,1.958991772,5.158678334,1.110095338
189,1.625237618,1.857414421,1.74132602,4.585491852,0.986751411
190,1.625237618,1.857414421,1.74132602,4.585491852,0.986751411
191,1.74713044,1.996720503,1.871925471,4.929403741,1.060757767
192,1.830863121,2.092414996,1.961639058,5.16564952,1.111595466
193,1.871548968,2.138913107,2.005231037,5.280441732,1.136297588
194,2.034292357,2.324905551,2.179598954,5.739610578,1.235106074
195,2.237721593,2.557396106,2.397558849,6.313571636,1.358616681
196,2.33943621,2.673641383,2.84074397,6.349898285,1.336820692
197,2.461493752,2.813135716,2.988956699,6.681197326,1.406567858
198,2.461493752,2.813135716,2.988956699,6.681197326,1.406567858
199,2.237721593,2.557396106,2.717233362,6.073815751,1.278698053
200,2.037045121,2.328051566,2.473554789,5.52912247,1.164025783
201,1.833340608,2.09524641,2.22619931,4.976210223,1.047623205
202,1.52778384,1.746038675,1.855166092,4.146841853,0.873019337
203,1.629636096,1.862441253,1.978843831,4.423297976,0.931220627
204,1.733834543,1.981525192,2.105370516,4.70612233,0.990762596
205,1.795028703,2.051461375,2.179677711,4.872220765,1.025730687
206,1.83582481,2.098085497,2.229215841,4.982953055,1.049042748
207,1.795028703,2.051461375,2.179677711,4.872220765,1.025730687
208,1.917417024,2.191333741,2.3282921,5.204417636,1.095666871
209,1.999009237,2.284581986,2.42736836,5.425882216,1.142290993
210,2.039805344,2.331206108,2.476906489,5.536614506,1.165603054
211,2.284581986,2.610950841,2.774135268,6.201008247,1.30547542
212,2.304980039,2.634262902,2.798904333,6.256374392,1.317131451
213,2.304980039,2.634262902,2.798904333,6.256374392,1.317131451
214,2.243785879,2.564326719,2.724597138,6.090275957,1.282163359
215,0.815922138,0.932482443,0.990762596,2.214645802,0.466241222
216,2.243785879,2.564326719,2.724597138,6.090275957,1.282163359
217,2.243785879,2.564326719,2.724597138,6.090275957,1.282163359
218,2.141795612,2.447766413,2.600751814,5.813445231,1.223883207
219,2.039805344,2.331206108,2.476906489,5.536614506,1.165603054
220,1.937815077,2.214645802,2.353061165,5.259783781,1.107322901
221,1.83582481,2.098085497,2.229215841,4.982953055,1.049042748
222,1.876620917,2.144709619,2.27875397,5.093685345,1.07235481
223,1.83582481,2.098085497,2.229215841,4.982953055,1.049042748
224,1.937815077,2.214645802,2.353061165,5.259783781,1.107322901
225,1.818958407,2.238718039,2.378637917,5.316955343,1.11935902
226,1.876399199,2.309414398,2.453752798,5.484859196,1.154707199
227,1.91469306,2.356545305,2.503829386,5.596795098,1.178272652
228,1.91469306,2.356545305,2.503829386,5.596795098,1.178272652
229,2.067868505,2.545068929,2.704135737,6.044538706,1.272534464
230,1.991280782,2.450807117,2.603982562,5.820666902,1.225403558
231,1.91469306,2.356545305,2.503829386,5.596795098,1.178272652
232,1.991280782,2.450807117,2.603982562,5.820666902,1.225403558
233,1.799811476,2.215152586,2.353599623,5.260987392,1.107576293
234,1.60814795,2.144197266,2.278209595,5.092468507,1.072098633
235,1.60814795,2.144197266,2.278209595,5.092468507,1.072098633
236,1.60814795,2.144197266,2.278209595,5.092468507,1.072098633
237,1.786831055,2.382441407,2.531343995,5.658298341,1.191220703
238,1.786831055,2.382441407,2.531343995,5.658298341,1.191220703
239,1.786831055,2.382441407,2.531343995,5.658298341,1.191220703
240,1.751094434,2.334792579,2.480717115,5.545132374,1.167396289
241,1.715357813,2.287143751,2.430090235,5.431966408,1.143571875
242,1.60814795,2.144197266,2.278209595,5.092468507,1.072098633
243,1.60814795,2.144197266,2.278209595,5.092468507,1.072098633
244,1.697489502,2.263319336,2.404776795,5.375383424,1.131659668
245,1.697489502,2.263319336,2.404776795,5.375383424,1.131659668
246,1.751094434,2.334792579,2.480717115,5.545132374,1.167396289
247,1.722372779,2.505269497,2.661848841,5.950015056,1.252634749
248,1.82174044,2.649804276,2.815417043,6.293285155,1.324902138
249,1.82174044,2.649804276,2.815417043,6.293285155,1.324902138
250,1.82174044,2.649804276,2.815417043,6.293285155,1.324902138
251,1.658374793,2.412181517,2.562942861,5.728931102,1.206090758
252,1.575456053,2.291572441,2.434795718,5.442484547,1.14578622
253,1.658374793,2.412181517,2.562942861,5.728931102,1.206090758
254,1.658374793,2.412181517,2.562942861,5.728931102,1.206090758
255,0.829187396,1.206090758,1.281471431,2.864465551,0.603045379
256,1.83166818,2.664244626,2.830759915,6.327580987,1.332122313
257,1.99818347,2.906448683,3.088101726,6.902815622,1.453224342
258,1.914925825,2.785346655,2.95943082,6.615198305,1.392673327
259,1.665152891,2.422040569,2.573418105,5.752346352,1.211020285
260,1.748410536,2.543142598,2.70208901,6.039963669,1.271571299
261,1.83166818,2.664244626,2.830759915,6.327580987,1.332122313
262,1.581895247,2.300938541,2.4447472,5.464729034,1.15046927
263,1.665152891,2.422040569,2.573418105,5.752346352,1.211020285
264,1.581895247,2.300938541,2.4447472,5.464729034,1.15046927
265,1.669702489,2.428658166,2.580449302,5.768063145,1.214329083
266,1.669702489,2.428658166,2.580449302,5.768063145,1.214329083
267,1.753187614,2.550091075,2.709471767,6.056466302,1.275045537
268,1.001821494,1.4571949,1.548269581,3.460837887,0.72859745
269,1.920157863,2.792956891,2.967516697,6.633272617,1.396478446
270,1.836672738,2.671523983,2.838494232,6.34486946,1.335761991
271,1.50273224,2.18579235,2.322404372,5.191256831,1.092896175
272,1.669702489,2.428658166,2.580449302,5.768063145,1.214329083
273,1.669702489,2.428658166,2.580449302,5.768063145,1.214329083
274,1.669702489,2.428658166,2.580449302,5.768063145,1.214329083
275,1.586217365,2.307225258,2.451426837,5.479659988,1.153612629
276,1.669702489,2.428658166,2.580449302,5.768063145,1.214329083
277,1.736490589,2.525804493,2.683667274,5.998785671,1.262902247
278,1.769884639,2.574377656,2.73527626,6.114146934,1.287188828
279,1.669702489,2.428658166,2.580449302,5.768063145,1.214329083
280,1.50273224,2.18579235,2.322404372,5.191256831,1.092896175
281,1.586217365,2.307225258,2.451426837,5.479659988,1.153612629
282,1.586217365,2.307225258,2.451426837,5.479659988,1.153612629
283,1.586217365,2.307225258,2.451426837,5.479659988,1.153612629
284,1.50273224,2.18579235,2.322404372,5.191256831,1.092896175
285,1.50273224,2.18579235,2.322404372,5.191256831,1.092896175
286,1.085306618,1.578627808,1.677292046,3.749241044,0.789313904
287,1.419247116,2.064359441,2.193381906,4.902853673,1.032179721
288,1.836672738,2.671523983,2.838494232,6.34486946,1.335761991
289,1.836672738,2.671523983,2.838494232,6.34486946,1.335761991
290,1.836672738,2.671523983,2.838494232,6.34486946,1.335761991
291,1.669702489,2.428658166,2.580449302,5.768063145,1.214329083
292,1.669702489,2.428658166,2.580449302,5.768063145,1.214329083
293,1.685823755,2.45210728,2.605363985,5.823754789,1.22605364
294,1.517241379,2.206896552,2.344827586,5.24137931,1.103448276
295,1.601532567,2.329501916,2.475095785,5.53256705,1.164750958
296,1.601532567,2.329501916,2.475095785,5.53256705,1.164750958
297,1.550957854,2.255938697,2.396934866,5.357854406,1.127969349
298,1.483524904,2.157854406,2.292720307,5.124904215,1.078927203
299,1.517241379,2.206896552,2.344827586,5.24137931,1.103448276
300,1.635249042,2.378544061,2.527203065,5.649042146,1.189272031
301,1.685823755,2.45210728,2.605363985,5.823754789,1.22605364
302,1.685823755,2.45210728,2.605363985,5.823754789,1.22605364
303,1.685823755,2.45210728,2.605363985,5.823754789,1.22605364
304,1.685823755,2.45210728,2.605363985,5.823754789,1.22605364
